id,ts,iso_ts,event,actor,ip,payload
195,1782328362702,2026-06-24T19:12:42.702Z,internet.check,system ,,"{""ok"":true,""results"":[{""host"":""1.1.1.1"",""ok"":true,""ms"":546},{""host"":""http://connectivity-check.ubuntu.com"",""ok"":true,""ms"":2145}],""outage_type"":null,""gateway_ok"":null,""gateway"":null,""outage_mode"":false,""interval_seconds"":null,""attempt_count"":null,""vpn_up"":false,""vpn_ok"":null,""vpn_results"":[]}"
196,1782328371705,2026-06-24T19:12:51.705Z,threat.refresh,system ,,"{""new_count"":25,""total"":25}"
197,1782328501759,2026-06-24T19:15:01.759Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
198,1782328801943,2026-06-24T19:20:01.943Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
199,1782329101345,2026-06-24T19:25:01.345Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
200,1782329402521,2026-06-24T19:30:02.521Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
201,1782329701484,2026-06-24T19:35:01.484Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
202,1782330001396,2026-06-24T19:40:01.396Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
203,1782330301555,2026-06-24T19:45:01.555Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
204,1782330602883,2026-06-24T19:50:02.883Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
205,1782330901376,2026-06-24T19:55:01.376Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
206,1782331203239,2026-06-24T20:00:03.239Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
207,1782331502738,2026-06-24T20:05:02.738Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
208,1782331805583,2026-06-24T20:10:05.583Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
209,1782332105925,2026-06-24T20:15:05.925Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
210,1782332401448,2026-06-24T20:20:01.448Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
211,1782332701357,2026-06-24T20:25:01.357Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
212,1782333002064,2026-06-24T20:30:02.064Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
213,1782333302758,2026-06-24T20:35:02.758Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
214,1782333602021,2026-06-24T20:40:02.021Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
215,1782333901680,2026-06-24T20:45:01.680Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
216,1782334201606,2026-06-24T20:50:01.606Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
217,1782334502219,2026-06-24T20:55:02.219Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
